순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,러닝타임,평점,감독
29,인터스텔라,2014-11-06,"83,702,019,500","10,387,691","1,410","171,427",미국,"미국,영국",워너브러더스 코리아(주),SF,169분,9.12,크리스토퍼 놀란
30,겨울왕국,2014-01-16,"82,778,068,337","10,329,222","1,010","160,138",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",애니메이션,108분,9.2,크리스 벅
31,기생충,2019-05-30,"87,468,874,795","10,314,370","1,948","206,648",한국,한국,(주)씨제이이엔엠,드라마,131분,9.07,봉준호
32,보헤미안 랩소디,2018-10-31,"86,280,975,785","9,948,386","1,179","232,226",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",드라마,134분,9.45,브라이언 싱어
33,검사외전,2016-02-03,"77,320,403,264","9,707,581","1,812","153,532",한국,한국,(주)쇼박스,범죄,126분,8.56,이일형
34,엑시트,2019-07-31,"79,252,097,162","9,428,172","1,660","202,432",한국,한국,(주)씨제이이엔엠,액션,103분,8.99,이상근
35,설국열차,2013-08-01,"67,041,826,880","9,354,547","1,128","126,025",한국,"한국,체코",(주)씨제이이엔엠,SF,125분,8.18,봉준호
36,관상,2013-09-11,"66,007,271,000","9,135,463","1,240","125,098",한국,한국,(주)쇼박스,드라마,139분,8.03,한재림
37,아이언맨 3,2013-04-25,"70,853,737,320","9,006,173","1,389","164,372",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),SF,129분,9.16,셰인 블랙
38,인사이드 아웃 2,2024-06-12,"84,511,282,036","8,799,282","2,619","331,345",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,96분,8.93,켈시 맨
39,캡틴 아메리카: 시빌 워,2016-04-27,"72,686,676,527","8,678,761","1,991","161,744",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",액션,147분,8.82,안소니 루소
40,해적: 바다로 간 산적,2014-08-06,"66,372,140,706","8,666,208",910,"133,354",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,모험,130분,8.51,이석훈
41,수상한 그녀,2014-01-22,"62,734,059,849","8,662,447","1,027","137,032",한국,한국,(주)씨제이이엔엠,코미디,124분,9.09,황동혁
42,백두산,2019-12-19,"69,831,688,800","8,253,470","1,971","174,506",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오",드라마,128분,7.47,이해준
